name,BB,Phi,TR,LC,MLD,EE,CSE,AC
batch_norm,147,79,55,51,4,13,11,0
conv,41,25,13,11,7,0,1,3
softmax,39,31,15,12,2,2,2,0
instance_norm,27,13,8,9,4,1,1,0
pad,19,7,10,2,2,0,1,3
maxpool,15,6,4,5,4,1,1,0
matmul,12,12,4,4,3,0,0,0
gemm,12,12,4,4,3,0,0,0
transpose,11,7,5,4,2,1,2,0
nonzero,11,5,4,3,2,1,1,0
sum,10,11,4,3,2,0,0,0
add,9,4,3,3,2,1,1,0
cast,9,4,3,3,2,1,1,0
mul,9,4,3,3,2,1,1,0
relu,9,4,3,3,2,1,1,0
sub,9,4,3,3,2,1,1,0
div,9,4,3,3,2,1,1,0
pow,9,4,3,3,2,1,1,0
sqrt,9,4,3,3,2,1,1,0
clip,9,4,3,3,2,1,1,0
leaky_relu,9,4,3,3,2,1,1,0
tanh,9,4,3,3,2,1,1,0
exp,9,4,3,3,2,1,1,0
log,9,4,3,3,2,1,1,0
unsqueeze,7,5,3,2,1,0,0,0
concat,7,3,3,1,1,0,0,0
gather,5,1,2,1,1,0,0,0
slice,3,1,0,1,1,0,0,0
reshape,3,0,1,0,0,0,0,0
squeeze,3,0,1,0,0,0,0,0
shape,1,0,0,0,0,0,0,0
