name,basic_blocks,loop_depth,phi,symb_loops,symb_branch,composite,affine_conditions
batch_norm,147,4,79,51,55,32,0
conv,41,7,25,11,13,1,3
softmax,39,2,31,12,15,4,0
instance_norm,27,4,13,9,8,2,0
pad,19,2,7,2,10,1,3
maxpool,15,4,6,5,4,2,0
matmul,12,3,12,4,4,0,0
gemm,12,3,12,4,4,0,0
transpose,11,2,7,4,5,8,0
nonzero,11,2,5,3,4,2,0
sum,10,2,11,3,4,0,0
add,9,2,4,3,3,2,0
cast,9,2,4,3,3,2,0
mul,9,2,4,3,3,2,0
relu,9,2,4,3,3,2,0
sub,9,2,4,3,3,2,0
div,9,2,4,3,3,2,0
pow,9,2,4,3,3,2,0
sqrt,9,2,4,3,3,2,0
clip,9,2,4,3,3,2,0
leaky_relu,9,2,4,3,3,2,0
tanh,9,2,4,3,3,2,0
exp,9,2,4,3,3,2,0
log,9,2,4,3,3,2,0
unsqueeze,7,1,5,2,3,0,0
concat,7,1,3,1,3,0,0
gather,5,1,1,1,2,0,0
slice,3,1,1,1,0,0,0
reshape,3,0,0,0,1,0,0
squeeze,3,0,0,0,1,0,0
shape,1,0,0,0,0,0,0
