label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
concat,64,13199667,4538,7501885,517099,46,0.061427604332459175,0.17561973511607773,0.22834020358998744,0.2529423497098888,1.2141386465561603
concat,128,13325924,6216,8533219,530571,13,0.2829374326684557,0.26820808938333796,0.29324194700186257,0.33790669752879054,0.16898056659208557
concat,256,14993190,30017,8651758,378909,16,0.031110489241805428,0.2617000177929336,0.2700273714867351,0.30836126531451413,0.0916515138991168
concat,512,12302149,112755,5169351,270160,14,0.25774752959016584,0.42613220839655275,0.01793954297710973,0.005613670659698801,0.24743582965269675
concat,1024,12195905,579636,5962782,370167,15,0.12192641988172022,0.0991116235875001,0.13496728339910483,0.415290533531203,0.0
concat,2048,12770457,3701557,6425037,305193,14,0.1791516962723595,0.02305604463519554,0.26409869466383334,0.21023666655542633,0.03936479108111085
concat,4096,12682834,16128449,5576686,335071,13,0.06183365798803408,0.1294462124821687,0.1119282847331366,0.30140829405323766,0.16898056659208557
concat,8192,13156220,62998897,6332213,308530,15,0.09757552109522125,0.03594391639375833,0.175001081721428,0.1256545309555302,0.0
gather,64,12311727,4040,6325462,267920,12,0.03729600704185638,0.260791866091201,0.28444372784529787,0.28669028142905023,0.14433756729740643
gather,128,16864156,5013,8342671,355151,12,0.2611187340959842,0.2825848163963754,0.329330048574289,0.2757264431022316,0.12385339716096865
gather,256,12363498,13766,6841519,326647,14,0.0659372286639102,0.33369089404219726,0.46113755689320224,0.4081283661402397,0.2394466762011986
gather,512,12425101,54628,5091531,204891,17,0.16020701421445796,0.36038808783532283,0.22612868396815128,0.037402217746340574,0.41723291297162224
gather,1024,12946976,255492,6521641,276444,15,0.19547565829117405,0.21253091419965647,0.17614633089175002,0.14701296331106528,0.11547005383792515
gather,2048,11642622,1084500,5490628,252092,14,0.02040010208154608,0.06332328485034311,0.1566526143843607,0.18111402792501718,0.03936479108111085
gather,4096,12180663,7289673,6227588,274312,13,0.054182449995723685,0.006174953609585005,0.04673336298666007,0.025254596319209066,0.16898056659208557
gather,8192,12247722,30370085,5382366,222648,16,0.01776154442573247,0.005019105643359396,0.10595120322859404,0.03710526433513143,0.39949968710876355
reshape,64,13780435,3019,6972354,224819,14,0.30103381378049876,0.27904188305632366,0.2043442619761424,0.5658506659266072,0.04028025133881109
reshape,128,16940396,6587,7646944,213315,12,0.3339014784479999,0.7829457198353489,0.25141878429897196,0.6391728936357234,0.16434205258943152
reshape,256,11568402,10156,6056224,240456,15,0.07100090330215988,0.23980419612916237,0.2623441702290678,0.3727540464474786,0.06666666666666667
reshape,512,13286297,47151,4489917,145974,14,0.13559822794807908,0.27387212592217836,0.1872395476318617,0.02825022019811315,0.12371791482634838
reshape,1024,11579980,264832,4784588,154551,17,0.04237265535372905,0.008630720345889,0.14947749911535746,0.17279108595719936,0.2401922307076307
reshape,2048,11019014,1389094,4321904,127528,12,0.052796447531041464,0.03542845182426103,0.09335792357953351,0.022309756498187276,0.18724873595339211
reshape,4096,11398460,4999775,5399341,158516,13,0.0726096706640524,0.010528837871630479,0.08459274732380478,0.12041002083909384,0.15612494995995993
reshape,8192,12111862,20183838,5111255,153440,13,0.0625726265358298,0.012650316119911287,0.1841700827067482,0.1740040888130478,0.11177013890136196
shape,64,13353602,2185,4801225,128546,13,0.0909713324517033,0.2154788543535995,0.2806134950000655,0.0887841652509532,0.114564392373896
shape,128,13473699,1034,4900598,201394,14,0.22969432951862795,0.2179206601017226,0.3042388383333317,0.4304165001408184,0.2131430555793414
shape,256,13104693,1974,5250633,156353,14,0.16302011199839458,0.27212466425431614,0.18450013595917933,0.19398360090480338,0.07142857142857142
shape,512,18257755,1764,7333085,226726,15,0.11862809126037578,0.47243731872885614,0.20129866660445464,0.3227447742960993,0.06666666666666667
shape,1024,12063127,1002,5976811,188559,15,0.07403179458481608,0.03457187240656442,0.3118035379101971,0.3065122980004383,0.03765327842541037
shape,2048,12709554,1569,6080801,186962,15,0.11155167409165478,0.04433252175914539,0.010066134391122876,0.05483628750980391,0.11547005383792515
shape,4096,12506493,1300,4697907,152881,14,0.06742024217156475,0.13762030071213768,0.21637454801675116,0.09073156812485869,0.20829889522526548
shape,8192,11016165,1301,4591801,149274,12,0.04015590067206544,0.1062629547922185,0.18854379999402388,0.15823688687280765,0.045580284409707295
squeeze,64,14493759,1901,7233845,184723,17,0.12157605215327345,0.0772704451010467,0.2856704966074881,0.1702876812629435,0.40948178140020197
squeeze,128,14248955,4172,4493644,111745,14,0.15610717583724462,0.5872291952977285,0.18067424886136668,0.07696213814363993,0.20140125669405548
squeeze,256,17773879,4029,5376507,179692,16,0.18116865580246957,0.35640709366633977,0.4000595800891275,0.26002395878423434,0.2835489375751565
squeeze,512,13555379,2511,5379256,160637,14,0.11809566498082145,0.11115606546822468,0.29019985672785176,0.2743819032936381,0.12371791482634838
squeeze,1024,12187404,2652,5718293,153876,15,0.07235736458980181,0.39444151963399143,0.12450228146219386,0.25634692244660456,0.06666666666666667
squeeze,2048,12076296,2864,5843325,188733,13,0.03819750790611878,0.33536806691945376,0.3062492545598144,0.4114318447653484,0.20351933162035313
squeeze,4096,15880995,2694,6378481,179700,17,0.30149233237029055,0.23171250630844312,0.14300393997836927,0.47618376837948706,0.2674989977124118
squeeze,8192,14558360,3141,5777902,136307,12,0.2910162097841251,0.34163587466607165,0.3420604049578606,0.32039393597611143,0.12385339716096865
unsqueeze,64,15568410,4401,7349890,371716,17,0.45768871368661096,0.7118929949209848,0.0648449377607302,0.11268613441684516,0.03330866937632456
unsqueeze,128,16747462,6149,7611347,526132,13,0.2660608348304548,0.22185669756142848,0.08754640278576105,0.3594822208046942,0.30310889132455354
unsqueeze,256,17694412,5166,7899359,424260,20,0.22080625440905818,0.28164963733368753,0.2747540963552749,0.2673589656186786,0.2881704234630647
unsqueeze,512,19390520,12212,7698283,570305,17,0.12593220077859266,0.2322676496841157,0.40832789513106366,0.42634244218129586,0.29411764705882354
unsqueeze,1024,15817849,12569,7020440,427758,19,0.3210087724814985,0.526631498112894,0.29434749941192406,0.5352762682025871,0.10584742370166775
unsqueeze,2048,14670406,23688,6943965,356823,22,0.2586864189862874,0.11346467792035254,0.23615431393825143,0.19032699603104786,0.18181818181818182
unsqueeze,4096,14764355,45080,7180527,421197,19,0.16531180086556904,0.5946931756958841,0.42002915857609446,0.32639938676982555,0.215344758565462
unsqueeze,8192,17727096,67380,7646296,511022,16,0.21571367093822183,0.3250647282869721,0.35741152982228486,0.3943042984541069,0.07069595132934194
add,64,18433744,5968,9395163,466155,32,0.3522128333221536,0.47704836579270704,0.280726589984052,0.1838487325145161,0.12499335724723856
add,128,15702206,7915,8112566,646676,36,0.1328038511403149,0.35115886388414064,0.3789543962059937,0.6270621810082699,0.28867513459481287
add,256,14999511,42206,8444302,569086,27,0.30559960440954637,0.6103258494969074,0.4417477922428171,0.2995793443703281,0.16144070161261756
add,512,16188499,152657,7949583,664585,29,0.12218316077606256,0.3151564490865971,0.2964294309175705,0.4253809638186321,0.01946124502886379
add,1024,12550410,412198,6707362,475580,31,0.0680709108711456,0.026854553412359265,0.14870565033756275,0.12081931725870176,0.09116056881941459
add,2048,12084396,2178660,5829574,425389,33,0.036924467656449037,0.025072850999242842,0.02924589537448672,0.010544138158917575,0.12489995996796795
add,4096,11505591,10902554,6065585,425391,23,0.0514686348883839,0.1413401883670724,0.08578288423303403,0.051599351278746014,0.09897433186107871
add,8192,13887557,43663091,7471138,538482,33,0.10645865237180586,0.10293684351192985,0.15819696276883427,0.3271110821502075,0.08574508948360779
cast,64,13679901,4253,7466824,503431,30,0.1699668222499147,0.537058418638647,0.13942203903001818,0.3530772196180985,0.2940815056188844
cast,128,20149872,12153,10663367,756898,28,0.1848618611179603,0.4290678749369643,0.14449075925121982,0.42026295235602,0.2797955678026968
cast,256,13116004,29650,7970625,600435,24,0.11895387284095148,0.34421870034902896,0.2918612937196939,0.45722162766987356,0.06277500951994303
cast,512,21041100,212781,10128207,768981,30,0.29542152770146524,0.26826160432156493,0.2744283424380611,0.47283990708029894,0.01903352535789975
cast,1024,12067005,481635,6626464,459791,26,0.10784449971988545,0.0026032596470471387,0.08671625505012184,0.11794237537835678,0.17625291134445537
cast,2048,11948989,1642145,6876315,531691,28,0.04908568940923283,0.020341580236419243,0.1639989359235313,0.2247417530550687,0.07347056468703998
cast,4096,11174679,7960007,6995592,494320,28,0.016319684396837023,0.011179811470702199,0.032841509801449155,0.16650396849696253,0.16679349269126856
cast,8192,11715293,31810525,6442232,449468,30,0.07065667916363781,0.0036520301921306557,0.23105469903793868,0.16879067857849817,0.24743582965269675
mul,64,19001348,3626,7543194,661001,34,0.219327560873471,0.20215461862608447,0.13631098832203822,0.3771448139928827,0.2086782155212568
mul,128,16977143,10880,8162935,621782,39,0.23060379144159884,0.3087843240069333,0.19681917484267533,0.27035759443133045,0.2099158991058285
mul,256,16671709,39703,9881788,694846,28,0.07401458683373177,0.39828143891796164,0.315779692943052,0.5163761880015049,0.07347056468703998
mul,512,17271548,222076,7813534,574063,28,0.2615663361439543,0.2538515476577623,0.26329711784922744,0.28077258460397225,0.20439995152612728
mul,1024,13418361,541020,6495776,492994,33,0.10163043209457331,0.054287639591887364,0.11646303426824244,0.27383164627938655,0.1732050807568877
mul,2048,11836556,2298882,6712396,449849,34,0.041827960151281346,0.1297382661832523,0.12203446514753813,0.16873028253694258,0.17066403719657228
mul,4096,12303663,10450666,6962390,450394,40,0.12121399592543312,0.07142385179902876,0.1885025145400261,0.14914049583284578,0.5483845470058273
mul,8192,12026751,39526993,6135989,484969,27,0.039110732998856985,0.0014623025417330217,0.15001367748572764,0.2847245227677379,0.18547957010048977
relu,64,14159377,3188,7360352,610030,33,0.22850733838582915,0.2930436658512573,0.19210114219584257,0.2905380519592867,0.18863919686393715
relu,128,14341511,7352,6441955,526043,28,0.15422190669250146,0.41347387498192356,0.22951419704558668,0.3032097482338616,0.07347056468703998
relu,256,13896888,47769,6110140,440883,31,0.4094661913299273,0.5531928768756835,0.23800858269985745,0.1668300461493561,0.03225806451612903
relu,512,15862584,145498,8513232,772110,35,0.4336164433188741,0.21992320753525682,0.3440741639542961,0.43740392902293196,0.19264696091190694
relu,1024,14102095,403339,9976239,653444,41,0.01948603229991618,0.23192673586641743,0.40612309807386915,0.5687899785729734,0.4029929668745928
relu,2048,11702678,1666540,6543812,453027,39,0.018930485992436307,0.023803948087255448,0.16722313703830916,0.16915009456577526,0.16813944934107694
relu,4096,13168295,7977549,7199069,451563,36,0.07538525030079452,0.0033721145806840385,0.10369122025548376,0.08669068562070775,0.09622504486493762
relu,8192,11105314,32219296,6476865,446084,34,0.055069082630804164,0.004332531994507821,0.1768248995621567,0.1535411007105296,0.13478163808693647
sub,64,19956353,5401,8355290,478387,31,0.1464675063352717,0.4661393269204177,0.17555703120124405,0.24656631738180468,0.10259202937226548
sub,128,16626048,11532,9178439,688092,29,0.00857386093192528,0.3160975709137028,0.3992448325832948,0.5305205857190735,0.2413793103448276
sub,256,12579292,25193,10045682,623238,29,0.014738477875802545,0.1884141427137304,0.22365790090680365,0.4909985236595905,0.01946124502886379
sub,512,18777559,154011,10237707,836131,37,0.2918674764313584,0.20595198126459738,0.3376361686232935,0.6362395097752203,0.3757676769126044
sub,1024,13327979,447748,7424236,494249,34,0.175776486387175,0.13867116052245926,0.18448991956988386,0.2827474380805552,0.2960539291988587
sub,2048,12516058,2100490,6073236,451604,33,0.111321697667603,0.007197789521771263,0.15822299820333152,0.15641584309895443,0.11245363060990642
sub,4096,11570022,9965815,6976110,518135,27,0.03831823088554203,0.006739095182148954,0.17024704033526117,0.21749598920677649,0.41738620998461645
sub,8192,11469666,40115746,6661327,446418,31,0.029632007347723407,0.017401696983370553,0.17465298269299576,0.16301879994837806,0.2903225806451613
transpose,64,12406603,3820,9611445,1206244,73,0.18529705558691362,0.090648519761931,0.26141732576567017,0.43022057543204834,0.37847562887574754
transpose,128,15669757,18478,12795020,856029,55,0.13275701674010937,0.159341637979936,0.13060066588316674,0.1398087663048263,0.21408862221586578
transpose,256,15496838,88913,9859620,853695,83,0.1986196673443434,0.5752454121962511,0.38901302013674005,0.39103241073928896,0.5624067478064485
transpose,512,16081555,309249,9887714,1054932,68,0.25367972546510204,0.20588141994225614,0.43263751247253834,0.643607725898591,0.014705882352941176
transpose,1024,14824000,2911414,8019295,658254,89,0.14831166613894922,0.029344914884434106,0.13038637736229386,0.01632557467271218,0.27682438190460495
transpose,2048,12920006,15161658,8856026,664678,79,0.21530739274857394,0.09548140039789249,0.046765121193157996,0.03422487804703584,0.13941731111795846
transpose,4096,12698302,250259659,10638862,814492,70,0.08561445520418791,0.03377099379269258,0.31999417817369713,0.24200236829353608,0.36055512754639896
transpose,8192,12634881,1048133251,8742443,801133,72,0.11172943415029744,0.03070625174635566,0.24305633410590205,0.3153434853250725,0.0844828129208086
slice,64,14338389,3780,6995655,192403,17,0.052336745215002464,0.10303462879666876,0.31262338563990033,0.22922635397139107,0.25640582020827496
slice,128,13676151,3694,6623098,190228,16,0.20466988334228584,0.16694862791492857,0.24669205451114412,0.3964451132246986,0.2771281292110203
