label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns
conv,64,11469969,20811680,20031881,1824280
conv,128,10973062,89080654,18860828,1865411
conv,256,11478665,381515114,18532527,1882176
conv,512,11033786,1488722869,18322591,1797854
conv,1024,10553369,5994512278,19574076,1806143
conv,2048,12379360,24163098420,20154761,1819708
conv,4096,20498144,96453089696,20388823,1910868
conv,8192,298672737,429361653642,31543793,2117062
matmul,64,13087253,67116,8825926,390122
matmul,128,12744691,777222,8215458,365034
matmul,256,12253309,7719285,8708196,377248
matmul,512,12128894,105325175,8515986,382886
matmul,1024,12408398,2119533074,8567246,338810
matmul,2048,11987484,19023613095,8343751,387429
matmul,4096,12391368,677121794517,10074578,361741
add,64,11435189,3885,7931611,349361
add,128,12076868,8490,7663623,342333
add,256,11799679,23347,8389265,361089
add,512,11954766,108436,8352484,427615
add,1024,11715586,437498,8439012,358950
add,2048,12075801,2215174,7507098,346487
add,4096,12368274,8278779,7803294,378342
add,8192,12439949,31150681,8641351,437195
mul,64,12209809,5505,7458210,355358
mul,128,11977086,7514,7703558,348155
mul,256,12294105,31829,7470627,376166
mul,512,12121152,111328,7365051,347617
mul,1024,12384205,461770,8071845,351613
mul,2048,12304653,2016515,7353784,346135
mul,4096,11763197,7872731,8017003,372486
mul,8192,11382077,30860804,7609054,356330
sub,64,13573051,5230,8210576,371284
sub,128,12186691,8767,9133670,478052
sub,256,12157100,26811,7969811,359481
sub,512,11760084,119312,8760907,399940
sub,1024,11668266,448066,8056613,363052
sub,2048,12092074,2004505,8893402,403280
sub,4096,12026439,7897924,8177579,354156
sub,8192,18253771,31411213,8522766,346739
relu,64,12777648,3772,8515323,378072
relu,128,12022105,7217,8344024,434222
relu,256,12227834,19854,7790207,349410
relu,512,11773225,69806,7916257,415313
relu,1024,11726549,358944,8190181,352231
relu,2048,11389046,1796483,7974954,327427
relu,4096,11629487,6515151,8090255,359610
relu,8192,10852496,24502173,8160337,356431
cast,64,11542158,3317,8415015,362865
cast,128,12356107,6682,9311137,443043
cast,256,11716862,19251,8012322,392037
cast,512,12184712,72283,7417465,344023
cast,1024,11833196,357484,8198328,353558
cast,2048,13045454,1534396,7790167,347709
cast,4096,12490969,6081891,7066350,370425
cast,8192,10756619,25336265,8355944,370312
concat,64,12570959,4906,7524535,222148
concat,128,12364116,11594,7456202,235117
concat,256,12249660,40811,7284825,258206
concat,512,12875795,180504,8077232,267044
concat,1024,11635568,783722,7579297,238844
concat,2048,11742068,3282880,7566171,236926
concat,4096,12247073,12154903,7522302,224838
concat,8192,11212852,49810156,7846232,235419
gather,64,11523469,3137,7219438,169550
gather,128,12460661,7469,8163828,223759
gather,256,11576427,19544,7599779,192429
gather,512,11955349,81475,7414380,185445
gather,1024,12136801,379313,7309590,171873
gather,2048,11421344,1550155,6613499,170930
gather,4096,11643264,6249983,7323035,180112
gather,8192,11657139,25191410,6991628,173376
reshape,64,13113009,4892,7173708,125841
reshape,128,12651285,5772,6091088,114777
reshape,256,12183918,17112,8534267,126555
reshape,512,12618881,58673,7162367,141385
reshape,1024,11359472,343916,6259587,120996
reshape,2048,11026944,912960,6556061,122355
reshape,4096,11225606,4045386,6626267,127645
reshape,8192,11732319,14869128,6779499,128875
shape,64,13450641,3846,7484709,160739
shape,128,12159278,2263,7682668,178882
shape,256,12159007,2675,7134810,174656
shape,512,11732039,2350,6500079,151031
shape,1024,11179937,3020,6318663,139706
shape,2048,11404521,2605,6365009,137252
shape,4096,11547276,2664,6749786,144867
shape,8192,10486340,3245,6665508,187441
squeeze,64,11886797,2427,7049462,115622
squeeze,128,11932821,2735,6704974,119602
squeeze,256,12917817,2588,7157461,156711
squeeze,512,11579196,3596,7162209,138599
squeeze,1024,12148691,2507,6846558,115301
squeeze,2048,12156396,2859,7056108,141339
squeeze,4096,12190779,4350,6745867,122338
squeeze,8192,12219988,4621,6800416,120353
unsqueeze,64,11421955,2653,8134805,243277
unsqueeze,128,12184070,3477,6866107,310900
unsqueeze,256,12346641,3070,7677662,251994
unsqueeze,512,12844623,3537,7913605,242244
unsqueeze,1024,12029007,4483,7453507,244595
unsqueeze,2048,12366921,6322,8317119,247451
unsqueeze,4096,11936472,10899,6841237,262130
unsqueeze,8192,11382207,17614,6923425,235699
transpose,64,12829968,4182,9060601,540988
transpose,128,11963490,10261,9008380,522105
transpose,256,11394092,48403,8857101,531805
transpose,512,11145280,224101,8688701,537805
transpose,1024,12220444,3613172,8529248,601534
transpose,2048,11714121,16998983,8216563,524003
transpose,4096,11458513,165392332,9390881,545682
transpose,8192,10960924,869708504,8771887,534571
