label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec
concat,64,15197329,3394,6929629,407787,0.21230737073204367,0.08254529536894754,0.2158956426700711,0.3700269986243267
concat,128,12098096,6517,6561133,290530,0.06107799870266079,0.10828274872467585,0.15730354003245406,0.13909157305928854
concat,256,11480867,23736,5821371,385244,0.12432801570663146,0.10673560095386068,0.2355665185104365,0.3046765538262671
concat,512,12856504,102013,5818362,373524,0.19938468867201736,0.1301248421700464,0.13650691609558765,0.4320365849666262
concat,1024,11251289,624682,6962298,313944,0.14211374655390432,0.03522572842154507,0.3039832592484022,0.16453063392483536
concat,2048,11124175,3658209,4909217,276987,0.0071164175365203124,0.02410177043319185,0.021183257809905497,0.016011794091716373
concat,4096,11486592,14920639,5843717,323177,0.03839686351946149,0.0017877616850460664,0.18405595725442542,0.13972900958595805
gather,64,18072971,3872,5694208,255876,0.49931866934518804,0.20149288377485366,0.16661095015530997,0.123989972515371
gather,128,12257040,4373,5327567,259426,0.09556616070922072,0.1069228278863562,0.1963986193255478,0.13075494835636606
gather,256,11436185,10348,6554061,308607,0.06535855962533912,0.11708313908359015,0.04512101442530542,0.4979786031207553
gather,512,12236132,71422,7452753,318126,0.18389893576085029,0.46998904028054833,0.2856281641176358,0.33470496308536973
gather,1024,14481763,290227,6623880,343847,0.33012789167018486,0.22251752472566882,0.4447426308584261,0.42575185337960114
gather,2048,11277194,1210328,4865171,218556,0.057626734690221976,0.12165741952108318,0.12235299089246236,0.07621698676044227
gather,4096,11081326,7200409,4812647,205845,0.07346862550185464,0.004884866382668044,0.1743494764828215,0.023354860206757574
reshape,64,11319977,2493,4472300,184804,0.038867295125565846,0.09506195396792344,0.1335365640746494,0.2571297599355085
reshape,128,10920476,3175,5522336,235176,0.0751038305303404,0.03970128012373743,0.2823883284843475,0.4026311295906375
reshape,256,13667602,9664,5293573,154420,0.30010940324252433,0.20781569733343716,0.3300455397228286,0.23040604918491323
reshape,512,11985179,59449,5497577,154598,0.22211513423855464,0.5236330209237606,0.28151026653829475,0.22592028016178817
reshape,1024,15370712,297546,5646285,169776,0.24539444114195605,0.20074581434410757,0.3346301431309256,0.35972347915798253
reshape,2048,11534274,1418690,4027878,128432,0.09300945197721047,0.056985662915055274,0.10683331971027636,0.09128659841172516
reshape,4096,10624216,4811457,4749560,155917,0.07700611030716097,0.00685351197111453,0.15332576229870767,0.1270840472988813
shape,64,14732570,1481,4241403,132122,0.3874221599273455,0.5113608819134796,0.15663272018879035,0.1490194322111304
shape,128,13948062,1175,5941328,176805,0.16833816434852006,0.2931899307447699,0.2543854897556973,0.4930109426582192
shape,256,19582962,1596,5780119,171532,0.19570688396122807,0.48218302940792823,0.31710274275668865,0.3568621561076556
shape,512,13779543,1142,6063369,175814,0.39284445255072126,0.20478475401075985,0.19818317763810017,0.2309721302358804
shape,1024,11528065,1105,4634543,124339,0.20799883218824305,0.10817683083626978,0.2424328763890481,0.10081478836342261
shape,2048,10684599,1483,3763363,147203,0.05755487502997331,0.04428106851305643,0.09652609851534365,0.4522001413831565
shape,4096,10959455,1328,4821762,139394,0.11606276942902423,0.06805966561139887,0.1787820059011631,0.11224008032418832
squeeze,64,12799434,2820,4449472,119795,0.2333908436748594,0.19566447698241124,0.05485010787354797,0.13913887152487187
squeeze,128,12566676,2285,4956884,182134,0.07213250759965992,0.23343164783084805,0.07076805738228399,0.45522488743362716
squeeze,256,11737882,1747,5459106,149124,0.16363067057441247,0.07375797671714901,0.33080320884664166,0.36471275831361505
squeeze,512,12305046,2018,4466777,136343,0.05958404783930939,0.11938831678237889,0.10245125188160574,0.17338248504918238
squeeze,1024,11459006,2348,5118618,125499,0.1252348608899664,0.27060653142218644,0.24108737186353768,0.1596668111859598
squeeze,2048,15377699,2314,6377629,158683,0.2881491142595177,0.21456353585087032,0.11331074051673998,0.33099648440699225
squeeze,4096,11855685,2383,5239350,121149,0.2979304633353143,0.17895950588758916,0.28712518817587435,0.15142716252899938
unsqueeze,64,16727040,3414,6784656,460925,0.27575253164806185,0.21075634101465185,0.22434495945508734,0.4288676260253167
unsqueeze,128,12270607,3108,6916688,577783,0.11675910432617105,0.33591604480623305,0.22700602992642893,0.3037146404668111
unsqueeze,256,12060542,4791,4839805,333037,0.14733294050138238,0.2765780680937528,0.14263421597486267,0.2540463418128637
unsqueeze,512,12939508,6424,6405251,365455,0.1817979200899964,0.3676947001366901,0.24499770072559862,0.21278074149988893
unsqueeze,1024,12669568,7594,7147100,506308,0.1634118994172359,0.12999302718737868,0.2777133667786982,0.4131847919477817
unsqueeze,2048,17018097,16524,5643448,299245,0.35666280729879957,0.4114237238205089,0.12833453181655047,0.004280507183854046
unsqueeze,4096,15971532,23185,8343239,548496,0.24025966441991306,0.07215412128690632,0.3423296798644408,0.41608939000963313
add,64,16786868,4856,8962820,741607,0.23577405200310317,0.5131606151685184,0.1429610548738357,0.45266126122877864
add,128,11260855,8358,9770031,856748,0.059093365587429315,0.012062012176427883,0.22938688318945347,0.2758589041401766
add,256,12959281,32608,7888502,571588,0.2118831310869553,0.2889171081068942,0.2594770450935656,0.3146744481411033
add,512,17047085,151157,7441592,464008,0.2466174624604079,0.16617641898601285,0.22696934814723085,0.10487503993498673
add,1024,11777429,533709,6124729,409923,0.1199611211216227,0.017914682877669896,0.12720235436512434,0.03565539972585833
add,2048,10672306,2343246,6414871,458277,0.041459121654072846,0.11060292372720121,0.17730701325214912,0.15777427370817323
add,4096,10787324,10333504,6558944,476537,0.013136991728997714,0.06269008385347635,0.1587115540612124,0.1427225839939783
cast,64,14939108,3567,6886625,423340,0.49846680202435795,0.3376006295503256,0.22604702041349084,0.15898404330757385
cast,128,13520258,10840,8754688,679315,0.2784206665350677,0.43758531527457856,0.33524126850492547,0.40653617500790656
cast,256,15409958,38919,7917261,602575,0.2266920664693562,0.23800145878407666,0.3096054403759381,0.3530509216373095
cast,512,12567088,122681,5820740,437482,0.23172885758759937,0.060468447013141864,0.12909002284089804,0.20148035999604733
cast,1024,11950535,498714,5332108,386815,0.22560064923690254,0.04998472663317102,0.12677177105162218,0.016984375043082728
cast,2048,10118567,2173773,6299147,456793,0.016451523779066345,0.009503943593778088,0.10841122823971873,0.1243511555729368
cast,4096,11702825,8615967,6436824,447137,0.11534792485591,0.11284802193770735,0.17908529457699288,0.14682710162299487
mul,64,17933458,5254,8060857,599727,0.09775524213722037,0.4974971879030165,0.10325787721894115,0.23174234742854588
mul,128,20808188,18376,7820834,448171,0.22424296268960292,0.29104302884257377,0.2815874368945852,0.2299846228360954
mul,256,13894066,31596,6092225,568546,0.327843110002399,0.40951173307228117,0.16367567368322963,0.20376281705937532
mul,512,16973521,118313,9893451,600850,0.25274345412674615,0.19263799635925097,0.13125732315769037,0.19625439458774407
mul,1024,11756956,466446,5670693,426572,0.12744080714468675,0.15168488085287626,0.14842104426147804,0.17461574962217616
mul,2048,11253973,2498942,6398276,445416,0.03759020349532258,0.11694081122031558,0.2430297652840333,0.1555142704374587
mul,4096,10446333,10033898,6063873,437691,0.01874313698048708,0.004279649697832107,0.17687543919937054,0.1638304532785145
relu,64,15957130,2865,7901860,539515,0.4133434441196778,0.05179361611999535,0.31714956963156826,0.46357422288943956
relu,128,13159409,8944,7835441,458125,0.04000672659975466,0.1686585847204596,0.1422529159649938,0.15315692936192526
relu,256,15968382,31631,7037211,487545,0.27435473677648065,0.35740659732756624,0.4778518009833731,0.23760944534430598
