label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec
concat,64,14838687,153530,7175600,354335,0.1277209620343946,0.22865555632441872,0.4010833638045216,0.33983070936505283
concat,128,15666419,184085,6538214,455613,0.09335819668918295,0.5441405591319517,0.07781278150710502,0.21752498430841682
concat,256,17471335,298845,5763340,358431,0.22119715860349654,0.4393409446152698,0.043746897165763,0.16142883188800825
concat,512,15353886,236724,6559460,279639,0.25732097300897144,0.15085647793376725,0.27342705187127253,0.054578116620214424
concat,1024,13123961,751756,5061910,289395,0.11580116002856133,0.045163753789611724,0.05884646527564335,0.08935381466266896
concat,2048,14564265,3862128,7151154,351913,0.09497927889613766,0.016021604037504085,0.03542095757643171,0.1503449156787601
concat,4096,12564602,15348236,6187488,339975,0.02384205894760012,0.009062438306595859,0.2054998686264998,0.13881480429038812
concat,8192,13138472,61014845,6011570,347022,0.013235385863490151,0.0016377339592936347,0.10387758492149274,0.184522697752848
gather,64,16863184,132629,7060459,333043,0.07981388742683171,0.0988829571275966,0.42476511620853596,0.5755117965709173
gather,128,18858974,200834,6008468,300168,0.36536293420502425,0.3907950482119569,0.22779641060166425,0.3956445882247097
gather,256,17195693,233186,5993427,256719,0.3526671488207265,0.5036228767917336,0.2682276192775948,0.060676825923429926
gather,512,19579664,180597,7657223,381569,0.22859998067374754,0.038729723179705425,0.33188108844734915,0.2609877629645421
gather,1024,12681682,404046,6379921,299969,0.039027997893125436,0.16100930889659454,0.008214196592133136,0.23820799592599726
gather,2048,13508445,1359140,5170437,271043,0.07933625201392126,0.06211107179853342,0.19719835831427768,0.2928104781911428
gather,4096,13893419,8366696,6170620,264828,0.21984518072087644,0.18606938004687604,0.08359491942655028,0.10678498054798276
gather,8192,13496982,30745708,5343280,206704,0.06367505268674394,0.0009317955662586254,0.16113160014769404,0.04144205650446628
reshape,64,18373382,150510,7458388,276890,0.3810464255947559,0.29550018812236206,0.23725657463525857,0.23027030221008796
reshape,128,14199203,177590,6040892,209105,0.1471911146955189,0.3443563015934873,0.1379817793671697,0.35359300964948814
reshape,256,14631536,122509,6241018,218877,0.01795329026743744,0.018649903809416765,0.2868796055493105,0.19908505267964724
reshape,512,13809544,232281,5278768,200796,0.13882973739304338,0.26944699556644236,0.09442124112144278,0.1698571561974484
reshape,1024,13221389,425384,5142927,176283,0.10953644903383729,0.057793588380879723,0.15211775581054154,0.16293888886020128
reshape,2048,13337102,1590931,4463908,148016,0.09095006258377585,0.018507888636268365,0.18797828865493774,0.17356191690630277
reshape,4096,11570268,5229277,4524058,142154,0.02856650267985231,0.00512227861738096,0.15420001669378414,0.15530777296514173
reshape,8192,12928172,20359016,5800307,172819,0.17801512466534664,0.003034845570366469,0.11765520002627809,0.03975947750314144
shape,64,18230334,287155,6252404,173472,0.0952764001009907,0.14383697714372887,0.17637413370871638,0.18622211179002002
shape,128,14664957,137671,6136758,222595,0.21598986459656455,0.24089895803534303,0.13099591852574183,0.410542112019819
shape,256,16678830,223397,5835013,175888,0.2403736036277197,0.5679175821470426,0.18015738080334595,0.18620666641471786
shape,512,13845752,138645,6415153,218449,0.37171831057255716,0.08795486934181196,0.1877258899757362,0.2720222072716089
shape,1024,12566441,142243,5832578,201356,0.022765332125722324,0.03438851133499853,0.35300284403684573,0.3594909292127986
shape,2048,11662544,184776,4186196,133144,0.03995221140213595,0.030332545178359184,0.20089585837611262,0.15840920388409274
shape,4096,13545030,175901,4548157,154430,0.08610668480920236,0.029968403734275877,0.17182054901741858,0.05709259433737645
shape,8192,12787066,191764,4942233,152754,0.06656604311106377,0.08497417246473181,0.18987547092835966,0.04226316689608229
squeeze,64,13585584,118395,3998760,117062,0.1613720398290399,0.02937991827486504,0.011041082272856696,0.11194516174331141
squeeze,128,16287986,167949,5748201,147852,0.2880811171150557,0.543250627389345,0.3153640033005596,0.19150894756290007
squeeze,256,13686021,116823,5213512,134210,0.15312360239848952,0.019091553990017468,0.30831429305744723,0.3692390032583313
squeeze,512,11621702,114526,4893912,144401,0.09261773302790718,0.05285243894107023,0.16099464540266725,0.16368455879848925
squeeze,1024,14010975,129169,5521167,160817,0.26134992886579794,0.2654350151649917,0.2869455869000496,0.35186511695788275
squeeze,2048,14585831,136139,6147228,176043,0.16131539239908954,0.18606111823210444,0.21803543659969737,0.26438786825782695
squeeze,4096,17236718,164166,6553025,190314,0.1464428126094884,0.3570763305710827,0.10801326361554171,0.21376630497677543
squeeze,8192,17896380,180011,6245271,229508,0.19224321511437928,0.20241160024542285,0.15238381883346516,0.350804424649796
unsqueeze,64,14552363,167619,6391072,304508,0.3464820340216022,0.4327465870803917,0.20219982367504308,0.07754640670766706
unsqueeze,128,13946165,150237,5543671,312527,0.09431421031115146,0.5005421656547048,0.26623566228963075,0.11138822796888857
