label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
conv,64,11708640,131755953,21951356,2745644,1670,0.0,0.0,0.0,0.0,0.0
matmul,64,16431394,644175,11929614,568696,32,0.0,0.0,0.0,0.0,0.0
concat,64,9750524,3647,8982712,439933,25,0.0,0.0,0.0,0.0,0.0
gather,64,20523149,7239,6467311,211596,15,0.0,0.0,0.0,0.0,0.0
reshape,64,19947627,4376,5694836,234501,22,0.0,0.0,0.0,0.0,0.0
shape,64,14459823,1340,8710731,192755,17,0.0,0.0,0.0,0.0,0.0
squeeze,64,19099524,1974,8371589,171573,20,0.0,0.0,0.0,0.0,0.0
unsqueeze,64,10973483,2380,5613143,306648,28,0.0,0.0,0.0,0.0,0.0
add,64,18505217,6335,8084365,476317,53,0.0,0.0,0.0,0.0,0.0
cast,64,11931736,6036,10693750,523370,48,0.0,0.0,0.0,0.0,0.0
mul,64,10952949,3254,9495904,407982,33,0.0,0.0,0.0,0.0,0.0
relu,64,14023604,2419,14849816,984974,38,0.0,0.0,0.0,0.0,0.0
sub,64,14812926,5561,11817062,798598,137,0.0,0.0,0.0,0.0,0.0
transpose,64,18903102,3966,9414875,853245,176,0.0,0.0,0.0,0.0,0.0
slice,64,20338574,6186,8719369,187636,23,0.0,0.0,0.0,0.0,0.0
batch_norm,64,47595255,434356462,112746899,7530701,1033,0.0,0.0,0.0,0.0,0.0
div,64,20011253,5957,8516959,823897,38,0.0,0.0,0.0,0.0,0.0
sum,64,18976648,7458,6529301,444307,37,0.0,0.0,0.0,0.0,0.0
nonzero,64,19448217,9011,19638427,1489583,52,0.0,0.0,0.0,0.0,0.0
pow,64,11124250,4617,7635430,762658,46,0.0,0.0,0.0,0.0,0.0
sqrt,64,16600926,4399,12212559,999591,40,0.0,0.0,0.0,0.0,0.0
clip,64,13241091,3139,10334403,675297,51,0.0,0.0,0.0,0.0,0.0
leaky_relu,64,13043013,3122,9838226,426544,48,0.0,0.0,0.0,0.0,0.0
gemm,64,17371280,263678,14482282,616878,33,0.0,0.0,0.0,0.0,0.0
softmax,64,18898677,55438,32111776,1548124,152,0.0,0.0,0.0,0.0,0.0
tanh,64,10218848,39562,9216230,451811,71,0.0,0.0,0.0,0.0,0.0
maxpool,64,12529240,3885,12088247,790863,48,0.0,0.0,0.0,0.0,0.0
exp,64,15017317,29755,7293878,491917,50,0.0,0.0,0.0,0.0,0.0
log,64,13884264,87882,12206768,401822,51,0.0,0.0,0.0,0.0,0.0
pad,64,17167150,11713,13056699,1498791,626,0.0,0.0,0.0,0.0,0.0
instance_norm,64,15226174,180048,18140596,1237574,42,0.0,0.0,0.0,0.0,0.0
resize,64,11752606,215336,7413938,328528,27,0.0,0.0,0.0,0.0,0.0
upsample,64,17693626,169138,9241294,482788,43,0.0,0.0,0.0,0.0,0.0
topk,64,22282190,153480,13842276,438554,22,0.0,0.0,0.0,0.0,0.0
nms,64,17231145,2316,15910670,660959,42,0.0,0.0,0.0,0.0,0.0
roi_align,64,10661878,244461,10139527,241993,27,0.0,0.0,0.0,0.0,0.0
scatter,128,17695657,12525,19522165,99795,23,0.0,0.0,0.0,0.0,0.0
compress,64,10659004,2725,6200440,163223,21,0.0,0.0,0.0,0.0,0.0
cumsum,64,14877542,2048366,6653538,147156,17,0.0,0.0,0.0,0.0,0.0
hardmax,64,10565540,20843,10650138,1399572,43,0.0,0.0,0.0,0.0,0.0
category_mapper,64,13706636,22388,6352171,313126,20,0.0,0.0,0.0,0.0,0.0
lstm,64,82834705,213262644,3942014480,11684520,43,0.0,0.0,0.0,0.0,0.0
abs,64,13180680,4078,11690943,509127,38,0.0,0.0,0.0,0.0,0.0
flatten,64,19477788,16614,7902117,195096,17,0.0,0.0,0.0,0.0,0.0
neg,64,18046917,4435,12541342,817348,43,0.0,0.0,0.0,0.0,0.0
reduce_min,64,9729660,18342,6601532,511390,23,0.0,0.0,0.0,0.0,0.0
and,64,17072612,3578,11860150,847250,125,0.0,0.0,0.0,0.0,0.0
floor,64,9458066,11217,6656877,529512,37,0.0,0.0,0.0,0.0,0.0
reduce_sum,64,17483757,21372,11179433,845127,35,0.0,0.0,0.0,0.0,0.0
argmax,64,9248970,32497,12898385,682075,18,0.0,0.0,0.0,0.0,0.0
global_average_pool,64,16251361,1204802,20548181,1281759,56,0.0,0.0,0.0,0.0,0.0
not,64,10744831,1518,11789606,1001414,57,0.0,0.0,0.0,0.0,0.0
average_pool,64,15764628,21452,13255646,1578354,56,0.0,0.0,0.0,0.0,0.0
greater,64,21384638,4320,14208566,596274,41,0.0,0.0,0.0,0.0,0.0
prelu,64,24133192,75777,11436783,516377,20,0.0,0.0,0.0,0.0,0.0
range,1,13776574,17512,6488924,112925,18,0.0,0.0,0.0,0.0,0.0
round,64,18545309,49486,6278871,534834,47,0.0,0.0,0.0,0.0,0.0
ceil,64,10667792,9395,8800565,666125,36,0.0,0.0,0.0,0.0,0.0
identity,64,22264519,4788,8300284,351858,20,0.0,0.0,0.0,0.0,0.0
reciprocal,64,10741807,3478,9553917,453883,37,0.0,0.0,0.0,0.0,0.0
scan,1,31193518,26755,25418879,173231,17,0.0,0.0,0.0,0.0,0.0
lrn,64,12222513,702755,37078220,3480920,93,0.0,0.0,0.0,0.0,0.0
reduce_max,64,13219458,30360,8352548,442532,30,0.0,0.0,0.0,0.0,0.0
constant,64,15903628,12207,8329935,414740,275,0.0,0.0,0.0,0.0,0.0
reduce_mean,64,15041763,16944,8448847,676172,56,0.0,0.0,0.0,0.0,0.0
sigmoid,64,14495596,17557,13172507,1075933,41,0.0,0.0,0.0,0.0,0.0
constant_of_shape,64,16773857,3355,6595709,460129,33,0.0,0.0,0.0,0.0,0.0
less,64,11778657,4014,6428656,397192,40,0.0,0.0,0.0,0.0,0.0
tile,64,19917557,38403,11761262,573558,21,0.0,0.0,0.0,0.0,0.0
split,64,16075046,15496,9197882,432223,18,0.0,0.0,0.0,0.0,0.0
conv_transpose,64,16149558,12076457,38908537,3884283,727,0.0,0.0,0.0,0.0,0.0
less_or_equal,64,14791882,3531,9824775,476555,33,0.0,0.0,0.0,0.0,0.0
loop,64,11593228,194624,5990669,133508,17,0.0,0.0,0.0,0.0,0.0
where,64,9465974,14999,6526530,390123,18,0.0,0.0,0.0,0.0,0.0
expand,64,8740358,10499,5830960,320541,18,0.0,0.0,0.0,0.0,0.0
dropout,64,11293776,5162,13710807,918533,43,0.0,0.0,0.0,0.0,0.0
max,64,10137696,3462,6363971,437491,32,0.0,0.0,0.0,0.0,0.0
erf,64,18138422,41998,13282738,635682,41,0.0,0.0,0.0,0.0,0.0
